index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
274,402-6885004-6990731,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-M,Set,M,B09KXV4BN8,Shipped,1,INR,626.0,CHENNAI,TAMIL NADU,600010.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
275,402-2207276-9869933,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0012,J0012-SKD-M,Set,M,B0894XYMWS,Shipped,1,INR,1140.0,KAMAREDDY,TELANGANA,503111.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
276,407-9494293-9423561,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3465,JNE3465-KR-M,kurta,M,B08BFV1DVW,Shipped,1,INR,486.0,SRINAGAR,JAMMU & KASHMIR,190015.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
277,171-6867266-8495534,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-XS,Set,XS,B09NDKGZ6V,Shipped,1,INR,597.0,BENGALURU,KARNATAKA,560042.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
278,408-3475592-6193128,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-XL,kurta,XL,B08KRTXC2Y,Shipped,1,INR,399.0,MUDDEBIHAL,KARNATAKA,586212.0,IN,Duplicated A12RHGVGRWOT3S 1560498941486,False,,
279,171-1987024-2709164,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0041,J0041-SET-M,Set,M,B089G2L483,Shipped,1,INR,660.0,SANTHAMAGULURU MANDAL,ANDHRA PRADESH,523302.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
280,406-1522425-5387565,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3611,JNE3611-KR-XL,kurta,XL,B08XVPKBKG,Shipped,1,INR,459.0,HYDERABAD,TELANGANA,500058.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
281,171-3270734-5045130,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET384,SET384-KR-NP-XS,Set,XS,B09K3DFHT2,Shipped,1,INR,631.0,NEW DELHI,DELHI,110045.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
282,408-4101226-7217932,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3802,JNE3802-KR-M,kurta,M,B09K3W2LHF,Shipped,1,INR,459.0,LUCKNOW,UTTAR PRADESH,226010.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
283,171-5719664-5449151,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET374,SET374-KR-NP-XS,Set,XS,B09NDKGZ6V,Unshipped,1,INR,597.0,BENGALURU,KARNATAKA,560042.0,IN,,False,,
284,403-9400764-4029123,04-30-22,Shipped,Amazon,Amazon.in,Standard,SET347,SET347-KR-NP-S,Set,S,B09RKDJ9SQ,Shipped,1,INR,852.0,BENGALURU,KARNATAKA,560102.0,IN,,False,,
285,406-8413944-2634744,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-XL,kurta,XL,B077MM3LFJ,Shipped,1,INR,353.0,Hyderabad,TELANGANA,500032.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
286,406-8271099-5133911,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3635,JNE3635-KR-L,kurta,L,B08XVYN7G6,Shipped,1,INR,345.0,BENGALURU,KARNATAKA,562125.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
287,406-8271099-5133911,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-L,kurta,L,B099FBM4FZ,Shipped,1,INR,329.0,BENGALURU,KARNATAKA,562125.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
288,405-3441326-1516368,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0118,J0118-TP-XXXL,Top,3XL,B08N43MK22,Shipped,1,INR,518.0,KOLKATA 700034,WEST BENGAL,700034.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
289,408-8009772-6580317,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3654,JNE3654-TP-XS,Top,XS,B0986ZFY2S,Shipped,1,INR,387.0,kolkata,WEST BENGAL,700045.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
